,Unnamed: 0,name,disposition,period_p,period_p_error,epoch_p,epoch_p_err,duration,radius_p,a/R*,ecc,ecc_err,omega,omega_err,ecosw,ecc_source,mass_p,mass_p_err,predicted_K_p,mass_sigma_needed,current_mass_sigma,logg_p,teq_p,teff_*,mass_*,radius_*,met_*,RA,dec,vmag,hmag,Met*_KIC,KPF_30min_RVSig,Nobs_30m_KPF,logCtoO,mmw,FoM_trans,FoM_emiss,eclipse_depth,LastScheduledTransitDate,LastScheduledTransitSector,LastEM3TransitDate,LastEM3TransitSector,LastEM4TransitDate,LastEM4TransitSector
0,98,507.01,VPC+,0.8994677009199097,7.0715475e-07,2459963.623365641,0.00024696678,1.206666754378928,17.120007831083548,6.18,0.0036534669776497,,230.7560205684446,,0.0023112707210612,SH,436.57,,459.09945998598266,10.0,0.0,1.1642024636684123,962.829609850662,3385.0,0.5,0.51,0.0,121.6294,-15.7646,16.3,11.088,,3.536113197137126,0.01779754128453941,-0.26,2.35,2.453279401990305,0.0081292259975599,0.00013416807768,2460717.377299012,88,-1.0,-1,2461965.838467889,7
1,102,539.01,CPC-,0.3096061640484214,4.130925e-06,2459988.5183229335,0.0012401575,1.0298929261410443,1.5526965029588842,2.2,0.0029662430802386,,315.0613072702296,,0.0020996936964572,SH,5.79,,6.351005253744421,10.0,0.0,1.3716619068815386,2312.623510215184,4851.0,0.8,0.81,0.0,102.568448,-53.005629,11.727,9.352,,0.42300310126986884,1.3308325473476863,-0.26,3.87,0.1774814203187436,0.0049419960321917,3.6669280818506616e-05,2460933.4363356093,96,-1.0,-1,2462102.81881722,12
2,113,659.01,VPC,4.7192771,5.9e-06,2460030.2732137,0.0008429,1.594,9.68968,8.84,0.0068718536586338,,359.8086505371659,,0.0068718153362308,SH,259.01,,87.44587304647318,10.0,0.0,1.4318541552057078,1433.8514291287229,6029.0,1.2,1.42,0.0,150.15405,-34.681556,10.013,8.688,,0.2457944266167095,0.002370209206636517,-0.26,2.375,0.430351602357698,0.005325661919125,2.9105401413110894e-05,2460039.7117679,63,-1.0,-1,2462017.0888728,9
3,291,1242.01,CPC?,0.3814849,6e-07,2459664.1265685,0.0010607,0.565,2.0605,2.72,0.0200027421508645,,150.5302307284845,,0.0174146951613058,SH,8.23,,9.479154560144488,10.0,0.0,1.2786110903879224,1820.0287348248748,4245.0,0.67,0.71,0.0,248.553282,60.196098,12.777,9.903,,0.6657652452950988,1.479872451544014,-0.26,4.398,0.2040667015131951,0.0042146978722972,4.0305698135757064e-05,2460662.0910668997,86,2461641.7442901,26,2462346.7283853,21
4,347,1638.01,VPC+,0.915062301311702,8.864068e-06,2459908.4410501,0.0006818,0.6662728463964886,5.3869040441320735,4.94,0.0117355087151408,,51.46884402179842,,0.0073105190530983,SH,23.14,,20.10815725476712,10.0,0.0,0.8928413682881843,1240.1190030397909,3898.0,0.66,0.7,0.0,15.32176,55.697948,13.853,10.223,,1.1386896682429184,0.9620274610295447,-0.26,3.242,1.064281314222774,0.0033230906469243,3.682495188575258e-05,2460635.000517342,85,2461421.9540964696,18,2462263.8114136765,18
5,356,1681.01,VPC,1.5379289,2.7e-06,2459934.6024685,0.0011774,0.724,8.379,6.08,0.0066692941906844,,84.25937239826594,,-0.0006670981796198,SH,150.07,,82.59157118462504,10.0,0.0,1.3210659945942982,1622.25600813221,5657.0,1.01,0.93,0.0,81.671351,56.963591,10.97,9.489,,0.34545877122223234,0.00524858514045552,-0.26,2.436,0.8540960237121056,0.0147427322599251,0.0001165139641422,2460662.0428382,86,2461447.9245061,19,2462289.1716143996,19
6,365,1703.01,VPC+,1.2016104976259103,4.1517847e-06,2459605.5267367,0.0005118,0.649836642235431,5.321049711836611,4.47,0.0098178549286465,,110.02534077169732,,-0.0033619841920892,SH,22.56,,13.30574393530391,10.0,0.0,0.8925009555399049,1842.485221028699,5509.0,1.03,1.08,0.0,113.874499,49.478213,11.024,9.688,,0.33962384648837485,0.1954516246651331,-0.26,3.2410000000000005,0.8403846780595877,0.0080930900882826,7.00994119498587e-05,2459962.4050544947,60,2461476.4342815033,20,2462318.7632403392,20
7,369,1713.01,VPC,0.5572564534795088,8.818959e-06,2458842.709690486,0.00034319723,0.5671304318040112,3.276178192592548,2.86,0.0013396588199586,,195.57553549102389,,-0.0012904629364424,SH,12.44,,10.689612335010423,10.0,0.0,1.05524184290211,2075.970789842603,4965.0,0.86,0.95,0.0,100.52065,39.843181,11.436,9.324,,0.376627326634345,0.3724097123491609,-0.26,3.874,0.5124415990395444,0.0099489430774528,7.287472787851162e-05,2460312.1949583115,73,2461476.860946084,20,2462318.8754472914,20
8,453,1940.01,PC,3.41586675557478,3.806428e-06,2459335.6451927302,0.00045064688,1.9196262166874487,19.33767935195008,4.6,0.0027062115048848,,37.816535954987486,,0.0021378477965516,SH,438.44,,166.71779940423198,10.0,0.0,1.0602579525853963,1995.2853124956516,6052.0,1.18,2.19,0.0,212.647808,-27.993058,10.049,8.582,,0.2528988072352142,0.0006903206715661391,-0.26,2.35,1.2545836106444312,0.0520024197037334,0.0002706596725653,2460066.6406784235,64,-1.0,-1,2462071.7544639455,11
9,537,2201.01,VPC?,1.3477642,3.1e-06,2460150.7880406,0.0019412,1.112,6.61528,3.73,0.0104116403052571,,1.0979008995037898,,0.0104097288819008,SH,44.06,,22.464581699825647,10.0,0.0,0.994104523772238,2235.9315612023324,6107.0,1.21,1.47,0.0,316.669507,-57.578035,10.604,9.419,,0.3415076731646889,0.06933068870772931,-0.26,2.542,0.7816211305571972,0.0145677674224886,0.0001114789832974,2460881.276237,94,-1.0,-1,-1.0,-1
