,Unnamed: 0,name,disposition,period_p,period_p_error,epoch_p,epoch_p_err,duration,radius_p,a/R*,ecc,ecc_err,omega,omega_err,ecosw,ecc_source,mass_p,mass_p_err,predicted_K_p,mass_sigma_needed,current_mass_sigma,logg_p,teq_p,teff_*,mass_*,radius_*,met_*,RA,dec,vmag,hmag,Met*_KIC,KPF_30min_RVSig,Nobs_30m_KPF,logCtoO,mmw,FoM_trans,FoM_emiss,eclipse_depth,LastScheduledTransitDate,LastScheduledTransitSector,LastEM3TransitDate,LastEM3TransitSector,LastEM4TransitDate,LastEM4TransitSector
3,3,128.01,VP,4.9404714,7.1e-06,2460175.8671595,0.0012993,1.954,2.3216,11.28,0.0293088740241273,,301.9496143449007,,0.0155094732842023,SH,9.24,,3.1992045791963744,2.0,0.0,1.2252536739296522,1275.64962243551,6059.0,1.13,1.13,0.0,79.522476,-80.964663,8.44,7.018,,0.1222617553301904,0.0175258251275731,-0.26,4.429,0.2697160884549041,0.0004848489753723,1.2280229469732677e-06,2460902.1164553,95,-1.0,-1,2462127.3533624997,13
5,5,136.01,VP,0.4629306872845131,3.872269e-06,2458325.724660599,0.00015644342,0.6310153872601454,1.5171972518975887,7.22,0.0044600168806843,,336.21624578716296,,-0.0040812457247983,SH,5.61,,15.735252775020868,5.0,0.0,1.3780352593670218,797.3684210526317,3030.0,0.16,0.19,0.0,340.4921,-69.169,15.24,9.477,,1.052772450099969,0.3357243474583096,-0.26,4.185,0.9349049293582058,0.0002037214377553,1.6011673753168743e-06,2460907.489103585,95,-1.0,-1,2461801.8711914187,1
16,16,175.03,VP,2.2531134,1.5e-06,2460035.7283036,0.0006774,0.909,1.01428,15.29,0.0050497349597151,,306.36373158901426,,-0.0029940346555797,SH,2.07,,2.304666323701104,5.0,0.0,1.294811114416883,636.1757267177671,3518.0,0.29,0.31,0.0,124.5319,-68.313,11.685,7.359,,0.2597732483058375,0.9528707629562444,-0.26,4.352999999999999,0.5785169411791088,3.6983016255916e-06,1.0959792414223346e-08,2460932.4674368,96,-1.0,-1,2462101.8332914,12
17,17,181.01,VP,4.532050172920823,2.9879789e-06,2458358.1182630304,0.00022718913,2.375442507945184,7.059079907936461,13.06,0.000867504544941,,156.75207876585625,,-0.0007970679743785,SH,60.59,,28.113764757503937,2.0,0.0,1.0760612492236628,929.9963155915096,4753.0,0.76,0.81,0.0,352.171955,-34.491371,11.191,9.14,,0.3174473859257895,0.0015299834860573,-0.26,2.614,1.046156721733756,0.0004229072514298,2.8460670798562256e-06,2460932.3227612493,96,-1.0,-1,2461829.6686954875,2
19,19,200.01,VP,8.138222177243811,3.0412186e-06,2458332.3083227514,0.00027840625,3.2797025058529177,6.175768156206336,17.53,0.1251646487138504,,104.04948997327456,,0.2731448697306369,SH,33.48,,11.18006563859019,2.0,0.0,0.9345599745478969,939.0070127503284,5560.0,0.94,0.95,0.0,354.914556,-69.195787,8.17,6.759,,0.0914949235749987,0.000803686247509,-0.26,2.874,2.533787355767047,0.0005563529598034,1.2506920890829975e-06,2460903.9865307603,95,-1.0,-1,2461799.1909702574,1
20,20,201.02,CPC,5.8492379,3.93e-05,2460175.6024772,0.0076201,3.257,1.18919,11.24,0.018112856936833,,284.6507043062307,,0.0045812059423518,SH,3.48,,1.031798897139115,2.0,0.0,1.3822332397855168,1316.092566701945,6240.0,1.31,1.33,0.0,87.401712,-54.910734,9.07,7.923,,0.1694832242223977,0.323775931938628,-0.26,4.429,0.0472497784758767,7.069692226343353e-05,2.716442443353257e-07,2460930.1541663,96,-1.0,-1,2462129.2479358,13
40,40,261.01,VP,3.3639253966858997,1.5642261e-05,2458383.915624326,0.0017622397,3.343049531413336,3.0449862658108136,7.55,0.0080382591870833,,193.84654320966692,,-0.0078046689111544,SH,11.68,,4.765159318296857,2.0,0.0,1.0914286594340004,1563.8704109521532,6077.0,1.07,1.28,0.0,15.217632,-24.423907,9.56,8.272,,0.2068097178029089,0.0226031141983604,-0.26,4.131,0.276813075843278,0.0012823837141284,5.7865271344453385e-06,2459140.7988385805,30,-1.0,-1,2461858.850559103,3
44,44,277.01,VP,3.99344182704717,8.306464e-06,2458385.036311979,0.0007959427,1.969306472550726,4.255664473952566,16.29,0.0119429320580267,,334.7282721678069,,0.0107999136345058,SH,16.14,,10.061012233569556,2.0,0.0,0.9411252634942332,658.9125712490472,3761.0,0.52,0.52,0.0,19.0772,-20.9522,13.632,9.767,,0.9076265535625766,0.0976590011806487,-0.26,3.551,0.8158622602690185,1.0271571927622571e-05,9.226498419487385e-08,2459139.796817291,30,-1.0,-1,2461855.337259683,3
83,83,426.01,PPC,1.3205037100069776,1.2123584e-05,2458438.524066139,0.0011066938,2.015551932587314,2.161173450587224,5.16,0.0265719298834777,,260.1959770611315,,0.0045246333505427,SH,8.63,,4.9660303480924854,2.0,0.0,1.2577880411852644,1771.5309205107262,5691.0,1.02,0.99,0.0,79.102169,-15.510132,10.116,8.769,,0.2346742042564414,0.0267974343330442,-0.26,4.407,0.1891216175613112,0.0018794719165579,1.0661930341476758e-05,2459200.454706813,32,-1.0,-1,2461912.7693271674,5
87,87,457.01,VPC-,1.1759834492408212,4.5913566e-06,2458411.560534524,0.0005024646,0.9928337983687066,7.719355859308396,7.31,0.0666457699362688,,344.1260447436117,,0.0641042830091163,SH,98.23,,93.43769598483436,2.0,0.0,1.2082385125466024,798.7214475349926,3054.0,0.51,0.51,0.0,58.7249,-26.4237,17.04,11.261,,3.591149584622099,0.0177257245027508,-0.26,2.49,0.722607543092787,0.0003201199340849,5.72153710565497e-06,2459172.4218261824,31,-1.0,-1,2461886.59162703,4
97,97,494.01,PC,1.7018818,4.1e-06,2459987.5495893,0.0020649,1.551,1.96356,7.07,0.0193670535170255,,150.1291250853662,,-0.0167941410870005,SH,7.81,,4.737281144295705,2.0,0.0,1.2977191739052794,1314.5160881361944,4943.0,0.83,0.8,0.0,124.69586,-6.785861,10.846,8.792,,0.2755917554714761,0.0406120927297919,-0.26,4.429,0.1753515252983532,0.0005626157532241,3.22561023325605e-06,2460715.9549997,88,-1.0,-1,2461965.1362409,7
98,98,507.01,VPC+,0.8994677009199097,7.0715475e-07,2459963.623365641,0.00024696678,1.206666754378928,17.120007831083548,6.18,0.0036534669776497,,230.7560205684446,,0.0023112707210612,SH,436.57,,459.09945998598266,2.0,0.0,1.1642024636684123,962.829609850662,3385.0,0.5,0.51,0.0,121.6294,-15.7646,16.3,11.088,,3.536113197137126,0.0007119016513815,-0.26,2.35,2.453279401990305,0.0081292259975599,0.00013416807768,2460717.377299012,88,-1.0,-1,2461965.838467889,7
