,Unnamed: 0,name,disposition,period_p,period_p_error,epoch_p,epoch_p_err,duration,radius_p,a/R*,ecc,ecc_err,omega,omega_err,ecosw,ecc_source,mass_p,mass_p_err,predicted_K_p,mass_sigma_needed,current_mass_sigma,logg_p,teq_p,teff_*,mass_*,radius_*,met_*,RA,dec,vmag,hmag,Met*_KIC,KPF_30min_RVSig,Nobs_30m_KPF,logCtoO,mmw,FoM_trans,FoM_emiss,eclipse_depth,LastScheduledTransitDate,LastScheduledTransitSector,LastEM3TransitDate,LastEM3TransitSector,LastEM4TransitDate,LastEM4TransitSector
0,3567,55 Cnc e,KP,0.7365474,1.3e-06,2457063.2096,0.0006,1.5439,1.875,3.52,0.05,0.03,86.0,30.7,0.0034878236872062,SH,7.99,0.32,6.054457298727893,0.0,24.96875,1.347700728083383,1958.0,5172.0,0.905,0.943,0.35,133.1468373,28.3298154,5.95084,4.265,,-1.0,0.0,-0.26,6.651,0.8568547174500726,0.024138179977404,1.720697473863178e-05,2460284.8679276,72,2461772.6936756005,46,2462346.4641002,21
1,3568,AU Mic b,KP,8.46308,6e-05,2458525.04109,0.00052,3.4927,3.95677019,18.79,0.00577,0.00101,88.4304,0.0578,0.0001580475793792,SH,20.12,1.57,9.890156545959623,0.0,12.81528662420382,1.1001028151036083,600.0,3678.0,0.51,0.744,0.23,311.2911369,-31.34245,8.81,4.831,,-1.0,0.0,-0.26,4.148,1.944952223020687,1.216914215515962e-05,1.1257966820998011e-08,2460903.16657,95,-1.0,-1,2461800.25305,1
2,3569,AU Mic c,KP,18.85969,8e-05,2458342.224,0.0019,4.236,2.52202066,32.05,0.00338,0.00164,223.2844,1.6836,-0.0024605029726953,SH,9.6,2.07,3.612913556750231,5.0,4.63768115942029,1.169930446087809,459.0,3678.0,0.51,0.744,0.23,311.2911369,-31.34245,8.81,4.831,,0.0766791161325618,0.0337831637622741,-0.26,6.286,0.5328622148026622,5.6911939701545275e-08,5.2650607636050905e-11,2460907.1418399997,95,-1.0,-1,2461793.54727,1
4,3571,CoRoT-1 b,KP,1.5089557,6.4e-06,2454159.4532,0.0001,2.373,16.7,4.92,0.0,,198.61354882397745,,-0.0,SH,327.35,38.14,188.7253409633501,0.0,8.582852648138438,1.0607358958597155,1898.0,5950.0,0.95,1.11,-0.3,102.0798591,-3.1021394,13.623,12.218,,-1.0,0.0,-0.26,2.35,0.7510472452107391,0.0232965824008383,0.0006469820249612,2460688.7045139,87,-1.0,-1,2461939.6287892,6
7,3574,CoRoT-13 b,KP,4.03519,3e-05,2454790.8091,0.0006,3.14,9.92,10.81,0.0,,293.6416893240082,,0.0,SH,415.704,20.976,157.53329481921,0.0,19.818077803203664,1.6169173519967446,1700.0,5945.0,1.09,1.01,0.01,102.7211432,-5.0864557,15.005,13.406,,-1.0,0.0,-0.26,2.35,0.07759556963404,0.0033555169880404,0.0001610495226344,2460686.22169,87,-1.0,-1,2461937.13059,6
29,3596,CoRoT-7 b,KP,0.85359163,6e-09,2454398.07756,0.00045,1.059,1.68135,4.26,0.0,,160.0,140.0,-0.0,SH,4.07660518,1.01981794,3.136848669252826,0.0,3.99738523917318,1.1501388884405048,1756.0,5275.0,0.82,0.83,0.05,100.9561682,-1.0630076,11.728,9.88,,-1.0,0.0,-0.26,4.653,0.1509589297032509,0.0010807777488386,1.0226720691283635e-05,2460689.0478731003,87,-1.0,-1,2461939.55961105,6
31,3598,CoRoT-9 b,KP,95.272656,6.8e-05,2455365.52723,0.00037,8.268,11.948794,89.9,0.133,0.042,41.0,31.0,0.1003763741696286,SH,266.9772,15.8915,38.734349897832416,0.0,16.799999999999997,1.262982519146576,420.0,5625.0,0.96,0.96,-0.01,280.7866461,6.2040783,13.637,11.813,,-1.0,0.0,-0.26,2.369,0.119285488180358,2.0185847507208e-09,4.6520780029405847e-11,-1.0,-1,-1.0,-1,-1.0,-1
33,3600,DS Tuc A b,KP,8.138268,1.1e-05,2458332.30997,0.00026,3.1764,5.7,20.35,0.0,,153.7089276468059,,-0.0,SH,26.36,,8.324464911964537,2.0,,0.9003521874738564,850.0,5428.0,1.01,0.964,0.0,354.9154673,-69.196043,8.17,6.759,,0.0878550615582973,0.0013366021847655,-0.26,3.03,2.109838395861969,0.0001825988877365,4.10485790258277e-07,2460904.002658,95,-1.0,-1,2461791.07387,1
34,3601,EPIC 201427007 b,KP,0.72091,0.00014,2457625.7943,0.0027,,1.5,3.1,0.0026288501321555,,188.5337473680432,,-0.0025997451640581,SH,5.51,,4.124368756773815,2.0,,1.3801255736372895,2262.2672398538884,5633.0,0.93,0.94,-0.053,184.6021322,-0.5512886,14.321,12.63,,2.35580986022797,3.915134982148337,-0.26,3.770000000000001,0.0277087432481349,0.0005107552569616,1.7147975143436397e-05,2460802.1237600003,91,2461773.91044,46,-1.0,-1
35,3602,EPIC 201595106 b,KP,0.87724,4e-05,2457583.04429,0.00157,1.0008,1.565,5.8,0.0,,0.0,,0.0,SH,7.67,0.75,5.2722635376227895,0.0,10.226666666666668,1.4869231730809134,2038.0,5679.0,0.958,0.98,0.01,183.7203635,1.9681688,11.746,10.262,,-1.0,0.0,-0.26,4.34,0.0484348279677695,0.0009729439228792,1.0977104781311928e-05,2460801.63785,91,2461773.61977,46,-1.0,-1
36,3603,EPIC 201615463 c,KP,3.80464,0.00091,2457621.2227,0.0051,,1.22,6.5621243746182,0.0575823452605845,,269.99699767204424,,-0.0081250960886195,SH,3.7,,1.448463116209204,2.0,,1.3866385556143654,1640.3327800382133,5942.5,1.073,1.599388,-0.0513,185.1880932,2.2823788,12.081,10.715,,0.6637976596378015,2.52021619635167,-0.26,4.195,0.0120702954654823,5.7978710170067473e-05,8.058766075524174e-07,2460801.9017399997,91,2461772.08494,46,-1.0,-1
37,3604,EPIC 201754305 d,KP,2.71578,0.00031,2456850.4963,0.0029,,1.03,13.177570656069438,0.0187079853018901,,159.36445269463252,,-0.0175077009240477,SH,2.2,,1.3171633259263915,2.0,,1.3079047243087287,927.396616067058,4761.0,0.67,0.54372,-0.33,175.0972238,4.5574311,14.668,12.207,,2.4162469689672377,40.38170301160552,-0.26,3.198,0.039434217310532,4.723167254789871e-06,1.3050685526603393e-07,2460283.2422200004,72,2461768.77388,46,-1.0,-1
38,3605,EPIC 205950854 c,KP,8.050722,7.5e-05,2456973.7648,0.01,3.72,1.31,16.18,0.058228519400672,,97.106834019922,,-0.0072040229518777,SH,4.33,,1.5104335443280577,2.0,,1.3931017979387037,960.6,5502.7,0.877,0.83,-0.13,333.1100738,-16.3418863,12.365,10.589,,0.6914889675329946,2.5150609424492365,-0.26,3.711,0.0332635988756865,7.069808395983095e-06,9.272730629617905e-08,2460813.959194,92,2461667.335726,42,-1.0,-1
40,3607,EPIC 206024342 c,KP,0.911724,7.6e-05,2457016.52991,0.0027,1.416,1.4,4.7,0.0062614452449271,,185.16343968960336,,0.006236036477415,SH,4.91,,3.4034874057381463,2.0,,1.389981913663359,1866.9629450789516,5724.0,0.928,1.1,-0.22,331.2771441,-14.1218019,13.096,11.533,,1.081731845946328,1.212194142613371,-0.26,3.5719999999999996,0.0266495140250174,0.0002279718346777,4.618289935453496e-06,2460829.359678,92,2461666.3223100007,42,-1.0,-1
42,3609,EPIC 206042996 c,KP,0.354884,6.3e-05,2457007.06827,0.002,1.07,1.2,2.6,0.134757152264828,,266.39176503492524,,0.0084808015701667,SH,3.56,,4.748117563874968,2.0,,1.3842439987744923,1804.108345714559,4114.0,0.565,0.5,0.006,337.5136198,-13.6101475,16.59,13.253,,9.222043198297326,45.268137182652865,-0.26,4.429,0.039541985072393,0.0006363268667729,2.8462972962680787e-05,2460829.1689500003,92,2461668.824494,42,-1.0,-1
