pl_name,pl_orbper,pl_radius,pl_radiuserr1,pl_radiuserr2,pl_radius_sigma,pl_mass,pl_masserr1,pl_masserr2,pl_mass_sigma
Kepler-323 c,3.5538229,1.57,0.04,-0.04,39.25,6.8,3.4,-3.2,2
HR 8799 b,170000,13,1,-1,13,2000,1000,-600,2
HD 28109 b,22.89104,2.199,0.098,-0.1,21.99,18.496,9.12,-7.609,2.028070175
Kepler-18 b,3.504725,2,0.1,-0.1,20,6.9,3.4,-3.4,2.029411765
HD 28109 d,84.25999,3.25,0.11,-0.11,29.54545455,5.681,2.738,-2.11,2.074872169
Kepler-277 b,17.324,2.92,0.73,-0.63,4,87.3,41.7,-39.9,2.09352518
Kepler-107 b,3.1800218,1.536,0.025,-0.025,61.44,3.8,1.8,-1.7,2.111111111
Kepler-19 b,9.28699,2.209,0.048,-0.048,46.02083333,6.1,2.8,-2.7,2.178571429
Kepler-328 b,34.921,2.3,0.96,-0.23,2.395833333,28.5,12.9,-12.3,2.209302326
Kepler-98 b,1.54168,1.99,0.22,-0.22,9.045454545,3.55,1.6,-1.6,2.21875
Kepler-11 f,46.6888,2.49,0.04,-0.07,35.57142857,2,0.8,-0.9,2.222222222
K2-266 e,19.482,2.73,0.14,-0.11,19.5,14.3,6.4,-5,2.234375
Kepler-103 c,179.60978,5.45,0.18,-0.18,30.27777778,38,17,-16,2.235294118
KOI-94 b,3.743208,1.71,0.16,-0.16,10.6875,10.5,4.6,-4.6,2.282608696
Kepler-100 b,6.88705,1.32,0.04,-0.04,33,7.34,3.2,-3.2,2.29375
Kepler-114 d,11.776,2.53,0.28,-0.28,9.035714286,3.9,1.7,-1.7,2.294117647
Kepler-102 d,10.311767,1.154,0.058,-0.058,19.89655172,3,1.3,-1.3,2.307692308
BD+20 594 b,41.6855,2.578,0.112,-0.112,23.01785714,22.2481,9.5349,-9.5349,2.333333333
Kepler-1647 b,1107.5923,11.874,0.138,-0.138,86.04347826,483,206,-206,2.344660194
HATS-37 A b,4.3315366,6.793,0.179,-0.179,37.94972067,31.46517,13.34886,-13.34886,2.357142857
Kepler-238 e,23.654,5.6,2.37,-0.46,2.362869198,169.7,71.7,-69.1,2.366806137
TOI-178 g,20.7095,2.87,0.14,-0.13,20.5,3.94,1.31,-1.62,2.432098765
HD 93963 A b,1.0391353,1.35,0.042,-0.042,32.14285714,7.8,3.2,-3.2,2.4375
Kepler-595 b,25.3029092,3.708,0.01,-0.01,370.8,17.4,7.1,-3.8,2.450704225
TOI-5398 c,4.77271,3.52,0.19,-0.19,18.52631579,11.8,4.8,-4.7,2.458333333
LHS 1815 b,3.814334,1.088,0.064,-0.064,17,1.58,0.64,-0.6,2.46875
CoRoT-31 b,4.62941,16.365,3.363,-3.363,4.866190901,266.9772,108.0622,-108.0622,2.470588235
Kepler-96 b,16.2385,2.67,0.22,-0.22,12.13636364,8.46,3.4,-3.4,2.488235294
L 98-59 b,2.2531136,0.85,0.061,-0.047,13.93442623,0.4,0.16,-0.15,2.5
Kepler-305 c,8.291,3.3,0.82,-0.33,4.024390244,6,2.4,-2.2,2.5
EPIC 246851721 b,6.180235,11.781,0.493,-0.493,23.89655172,953.49,349.613,-381.396,2.5
Kepler-103 b,15.9653287,3.486,0.057,-0.054,61.15789474,9.8,3.9,-3.9,2.512820513
TOI-1470 c,18.08816,2.47,0.02,-0.02,123.5,7.24,2.87,-2.77,2.522648084
CoRoT-24 c,11.759,5,0.5,-0.5,10,28,11,-11,2.545454545
Kepler-79 c,27.4029,3.72,0.08,-0.08,46.5,5.9,1.9,-2.3,2.565217391
HD 23472 e,7.90754,0.818,0.08,-0.065,10.225,0.72,0.28,-0.27,2.571428571
TOI-2136 b,7.851928,2.19,0.17,-0.17,12.88235294,6.37,2.45,-2.29,2.6
Kepler-102 e,16.1456994,2.17,0.11,-0.11,19.72727273,4.7,1.8,-1.8,2.611111111
HD 23472 d,3.97664,0.75,0.067,-0.057,11.19402985,0.55,0.21,-0.2,2.619047619
KOI-1831 d,34.169,1.13,0.05,-0.05,22.6,2.23,0.5,-0.84,2.654761905
K2-32 d,31.71701,3.484,0.112,-0.129,27.00775194,6.7,2.5,-2.5,2.68
TOI-2818 b,4.039709,15.278,0.516,-0.504,29.60852713,225.65817,82.63539,-82.63539,2.730769105
Kepler-113 b,4.754,1.82,0.05,-0.05,36.4,11.7,4.2,-4.2,2.785714286
HATS-46 b,4.7423729,10.122,0.65,-0.504,15.57230769,54.98459,19.70546,-19.70546,2.790322581
Kepler-350 d,26.136,2.8,1.28,-0.54,2.1875,14.9,5.3,-4.7,2.811320755
K2-36 c,5.340888,3.2,0.3,-0.3,10.66666667,7.9,2.8,-2.8,2.821428571
Kepler-117 b,18.7959228,8.059,0.269,-0.269,29.95910781,29.875,10.488,-10.488,2.848493516
Kepler-447 b,7.79430132,18.49,6.61,-6.28,2.797276853,435.41,152.55,-146.2,2.854211734
Kepler-79 d,52.0902,7.16,0.13,-0.16,44.75,6,2.1,-1.6,2.857142857
Kepler-328 c,71.312,5.4,2.24,-0.54,2.410714286,39.4,13.6,-12.6,2.897058824
TOI-178 d,6.5577,2.572,0.075,-0.078,32.97435897,3.01,0.8,-1.03,2.922330097
TOI-776 c,15.6653,2.02,0.14,-0.14,14.42857143,5.3,1.8,-1.8,2.944444444
