KIC,TIC,Vmag,VmagErr
10811496,27988157,15.418,0.103
11818800,27082725,15.681,0.183
11918099,27006665,15.605,0.08
9579641,158625964,12.981,0.092
3115833,137095438,15.773,0.115
3453214,138365297,15.708,0.126
4544670,120684515,16.004,0.137
4936180,138971033,15.461,0.126
5115978,184295623,15.468,0.126
6867155,240185254,15.268,0.172
6526710,138098297,15.494,0.103
6599919,159216790,15.115,0.057
6862328,63005026,14.879,0.092
7031517,159652645,15.251,0.16
7380537,272707711,15.893,0.16
8013419,164884186,16.129,0.206
8018547,158629357,15.951,0.08
8552202,158834933,15.561,0.126
9140402,164785003,15.539,0.103
8951215,159647349,15.475,0.115
9347899,270788519,15.496,0.115
2860866,138037141,15.086,0.069
10460629,158489694,14.136,0.126
10319385,123358090,13.371,0.069
11502218,299154631,7.23,0.03
11180361,405687343,7.69,0.03
10287723,272840024,13.771,0.126
11013201,48031665,9.24,0.03
9414417,271881482,9.64,0.004
2307199,137547180,14.129,0.103
9032900,271772050,13.773,0.137
2853446,137316771,13.968,0.15
3942446,121458196,15.415,0.332
3554031,138365520,16.142,0.149
10743597,27905953,15.636,0.15
3644071,122717206,14.366,0.126
1431122,122783866,14.812,0.16
8260218,269264963,15.9,0.172
6359320,122297877,15.646,0.217
3447722,137634395,15.289,0.115
12105051,298897095,13.921,0.103
8240904,271046092,15.787,0.366
3756801,138479537,13.82,0.057
8313667,272490022,14.372,0.137
10149023,271252996,15.343,0.024
9772531,63293840,16.049,0.309
10295951,268704157,12.653,0.229
3329204,121325658,16.048,0.046
3230491,122304930,14.882,0.126
2162635,137347517,14.109,0.08
6837146,123316150,15.602,0.035
6607286,63122090,15.024,0.058
11075279,399911821,13.569,0.103
6607447,63122153,13.713,0.092
6441738,137211401,14.951,0.115
8616873,158835095,15.593,0.286
8494263,159763598,15.548,0.149
10928043,27459059,13.206,0.126
10794087,290035649,12.062,0.069
8813698,159177369,14.808,0.069
4074736,184166635,15.966,0.24
4274548,378011122,15.546,0.515
11336883,48419201,12.339,0.057
8631160,270954439,13.719,0.126
9202151,164527141,16.407,0.275
4760746,184011928,16.208,0.263
9427402,269033530,15.835,0.114
3962440,138303340,13.684,0.126
3534076,121547150,15.295,0.114
4466677,137552781,14.75,0.126
9100484,271882741,16.257,0.435
6620003,271755676,16.216,0.114
7363829,63123912,15.254,0.126
6719086,274119282,16.017,0.103
11026304,267749287,15.903,0.229
11342550,399954001,15.6,0.092
6946199,159575346,15.566,0.16
10867062,27183544,15.228,0.172
8046659,273139160,15.213,0.103
7841925,273499989,14.635,0.069
4276716,138891469,12.012,0.092
7287683,270611314,12.337,0.182
8266276,185287495,16.061,0.16
8396405,185110665,16.14,0.126
7199906,63004445,15.219,0.126
9017682,159303167,15.182,0.217
10749128,28358364,13.655,0.114
11904734,405688765,15.675,0.08
10153011,272080933,15.833,0.046
11870545,27389261,16.209,0.218
5031857,239225129,14.544,0.126
10028792,273592336,14.681,0.137
11153121,28448998,14.304,0.137
6705142,271752574,16.194,0.046
5299459,169930145,14.149,0.103
4471747,138301914,15.186,0.137
4918309,122301308,15.465,0.115
4830605,122301410,15.769,0.149
12120943,351193764,15.829,0.229
7768451,272706044,14.984,0.16
9932970,123359472,15.929,0.149
4932442,138574253,14.124,0.114
5360920,137208794,16.018,0.206
11702948,405688374,14.414,0.126
9512981,164784420,15.938,0.24
5526717,394174412,14.431,0.16
5531953,137089954,16.192,1.133
9872292,123357504,11.796,0.023
5542466,377910183,15.736,0.183
4178389,184417241,14.398,0.103
7499398,351800577,15.549,0.126
5972334,139158696,14.882,0.183
7811397,158551294,16.058,0.172
5475431,170737690,14.612,0.24
5039228,170645355,12.595,0.069
7512982,158317824,15.977,1.133
5283458,138641858,15.8,0.412
8053552,268484698,15.358,0.103
7750419,159523531,15.043,0.183
7984047,268485240,16.318,0.08
5513648,120107336,10.81,0.007
7887791,159449703,10.802,0.008
9634821,164721823,15.516,0.195
11253711,27769737,13.877,0.092
9111849,268155253,13.15,0.092
11773328,351192529,15.015,0.114
5080636,120418600,15.295,0.058
3248501,378082880,15.564,0.025
11570749,27991192,14.279,0.08
9411166,271164596,15.531,0.092
2579043,137486304,15.083,0.092
8160953,159305424,14.904,0.195
10158418,273377879,13.74,0.126
3648437,137483894,14.05,0.08
2449431,137817482,13.95,0.092
5731623,170649305,15.538,0.126
10602291,63454950,15.073,0.217
9883311,158664101,16.004,0.183
4242147,120417250,15.094,0.195
4349442,120960808,13.522,0.046
10005788,159051188,15.758,0.08
10656508,298837598,15.062,0.275
11656918,299154193,14.712,0.046
10844890,48305295,14.507,0.08
8624520,63001050,15.766,0.16
4851530,184246418,15.709,0.115
6300348,184424549,14.82,0.15
11030475,424864367,15.639,0.103
7033233,63004645,15.346,0.16
8261920,239291510,15.905,0.15
6119141,122443047,14.575,0.114
3734418,121275496,14.321,0.137
9654875,270854941,12.705,0.057
3097926,120637744,15.976,0.286
10518424,164557550,15.37,0.08
5730445,170258383,15.464,0.115
5602588,120578889,16.016,0.126
5385304,169558358,13.123,0.069
11462341,27457135,14.582,0.069
11073656,405685521,15.339,0.046
7215678,272178917,14.592,0.16
7449554,275494538,15.682,0.229
3440978,122518874,15.631,0.24
9532710,271041847,16.252,0.172
9580992,158787273,15.506,0.103
6934986,158388283,15.096,0.126
4049901,122072147,11.433,0.057
10798331,424864919,14.836,0.092
9334893,158729099,14.212,0.126
9289704,271545765,12.733,0.069
8892157,270857274,15.146,0.046
11520459,28227505,15.654,0.069
4247991,121121775,12.63,0.046
10026544,273045012,12.708,0.057
2853780,137316877,13.627,0.137
6185476,120252815,14.542,0.103
8804455,164882874,13.521,0.092
5546761,184009076,15.042,0.057
8872048,158172454,15.873,0.08
7746958,159105557,20.308,0.097
6525946,240185908,15.496,0.115
6041734,137212833,15.661,0.24
9006186,164882482,12.509,0.046
10471621,63204351,15.766,0.24
8074328,123198404,13.034,0.092
4670217,184164861,15.792,0.114
9574179,164784364,15.095,0.046
11391755,279918148,15.802,0.172
9088780,63066825,13.456,0.092
8894646,271351997,13.999,0.114
8247770,272489623,14.428,0.103
6867588,275495953,14.495,0.114
7501646,123316972,15.561,0.286
8838950,274021617,14.642,0.085
12257999,26413092,13.466,0.092
6922203,123232993,14.967,0.092
2437505,122364526,18.604,0.048
8836888,273581286,15.287,0.217
8636539,272173308,15.139,0.058
9283156,63451711,13.005,0.103
9574158,164780909,15.681,0.058
9653622,270618386,14.913,0.069
7294743,271671386,13.525,0.069
6765135,158554432,15.248,0.092
5342061,120104251,15.411,0.092
