OrigSector,Sector,StartDate,JD_StartDate,EndDate,JD_EndDate,SectorDuration
97,97,9/15/25,2460933.5,11/9/25,2460988.5,55
98,98,11/9/25,2460988.5,1/5/26,2461045.5,57
99,99,1/5/26,2461045.5,2/2/26,2461073.5,28
100,100,2/2/26,2461073.5,3/1/26,2461100.5,27
101,101,3/1/26,2461100.5,3/27/26,2461126.5,26
102,102,3/27/26,2461126.5,4/21/26,2461151.5,25
103,103,4/21/26,2461151.5,5/17/26,2461177.5,26
104,104,5/17/26,2461177.5,6/13/26,2461204.5,27
105,105,6/13/26,2461204.5,7/11/26,2461232.5,28
106,106,7/11/26,2461232.5,8/9/26,2461261.5,29
107,107,8/9/26,2461261.5,9/7/26,2461290.5,29
14,108,9/7/26,2461290.5,10/5/26,2461318.5,28
15,109,10/5/26,2461318.5,11/1/26,2461345.5,27
16,110,11/1/26,2461345.5,11/27/26,2461371.5,26
17,111,11/27/26,2461371.5,12/23/26,2461397.5,26
18,112,12/23/26,2461397.5,1/17/27,2461422.5,25
19,113,1/17/27,2461422.5,2/13/27,2461449.5,27
20,114,2/13/27,2461449.5,3/13/27,2461477.5,28
21,115,3/13/27,2461477.5,4/10/27,2461505.5,28
22,116,4/10/27,2461505.5,5/9/27,2461534.5,29
23,117,5/9/27,2461534.5,6/7/27,2461563.5,29
24,118,6/7/27,2461563.5,7/4/27,2461590.5,27
25,119,7/4/27,2461590.5,7/30/27,2461616.5,26
26,120,7/30/27,2461616.5,8/25/27,2461642.5,26
42,121,8/25/27,2461642.5,9/21/27,2461669.5,27
43,122,9/21/27,2461669.5,10/17/27,2461695.5,26
44,123,10/17/27,2461695.5,11/11/27,2461720.5,25
45,124,11/11/27,2461720.5,12/7/27,2461746.5,26
46,125,12/7/27,2461746.5,1/4/28,2461774.5,28
