OrigSector,EMSector,StartDate,JD_StartDate,EndDate,JD_EndDate,SectorDuration
1,126,1/4/28,2461774.5,2/1/28,2461802.5,28
2,127,2/1/28,2461802.5,3/1/28,2461831.5,29
3,128,3/1/28,2461831.5,3/29/28,2461859.5,28
4,129,3/29/28,2461859.5,4/26/28,2461887.5,28
5,130,4/26/28,2461887.5,5/22/28,2461913.5,26
6,131,5/22/28,2461913.5,6/18/28,2461940.5,27
7,132,6/18/28,2461940.5,7/14/28,2461966.5,26
8,133,7/14/28,2461966.5,8/9/28,2461992.5,26
9,134,8/9/28,2461992.5,9/4/28,2462018.5,26
10,135,9/4/28,2462018.5,10/1/28,2462045.5,27
11,136,10/1/28,2462045.5,10/30/28,2462074.5,29
12,137,10/30/28,2462074.5,11/28/28,2462103.5,29
13,138,11/28/28,2462103.5,12/27/28,2462132.5,29
14,139,12/27/28,2462132.5,1/24/29,2462160.5,28
15,140,1/24/29,2462160.5,2/20/29,2462187.5,27
16,141,2/20/29,2462187.5,3/18/29,2462213.5,26
17,142,3/18/29,2462213.5,4/13/29,2462239.5,26
18,143,4/13/29,2462239.5,5/8/29,2462264.5,25
19,144,5/8/29,2462264.5,6/4/29,2462291.5,27
20,145,6/4/29,2462291.5,7/2/29,2462319.5,28
21,146,7/2/29,2462319.5,7/30/29,2462347.5,28
22,147,7/30/29,2462347.5,8/28/29,2462376.5,29
23,148,8/28/29,2462376.5,9/26/29,2462405.5,29
24,149,9/26/29,2462405.5,10/23/29,2462432.5,27
25,150,10/23/29,2462432.5,11/18/29,2462458.5,26
26,151,11/18/29,2462458.5,12/14/29,2462484.5,26
42,152,12/14/29,2462484.5,1/10/30,2462511.5,27
43,153,1/10/30,2462511.5,2/5/30,2462537.5,26
44,154,2/5/30,2462537.5,3/2/30,2462562.5,25
45,155,3/2/30,2462562.5,3/28/30,2462588.5,26
46,156,3/28/30,2462588.5,4/25/30,2462616.5,28
