TIC,TOI,Disposition,R_p,Period_p,Epoch_p,RA,Dec,H_mag,V_mag,M_*_TIC8,R_*_TIC8,Teff_*_TIC8,a/R*,N_pl
231663901,101.01,KP,13.187,1.43037,1326.009117,318.736981,-55.87178,11.465,13.043,1.05,0.89,5686,6.1,1
149603524,102.01,KP,15.525,4.411938,3187.916571,87.139956,-63.988427,9.008,10.213,1.28,1.21,6223,10.13,1
336732616,103.01,KP,13.292,3.547854,1327.25256,312.457438,-24.428796,10.719,12.433,1.27,1.28,6173,8.31,1
231670397,104.01,KP,13.624,4.087296,3150.608677,319.949611,-58.148876,9.073,10.468,1.16,2.22,5992,5.1,1
144065872,105.01,KP,13.703,2.184667,2084.58501,337.457199,-48.003087,8.628,10.092,1.03,1.24,5732,5.78,1
38846515,106.01,KP,16.429,2.849383,3201.638583,68.959732,-64.02704,9.715,10.798,1.44,1.77,6621,5.38,1
92352620,107.01,KP,20.54,3.950201,3176.993334,313.783108,-34.135572,8.916,10.051,1.14,1.71,6065,6.42,1
289793076,108.01,KP,12.109,3.044054,1328.08383,316.961466,-26.09666,12.052,13.911,0.95,0.81,5273,10.73,1
29344935,109.01,KP,12.287,2.76676,1326.127479,313.21548,-25.687338,12.129,14.052,0.93,0.98,5180,8.22,1
281459670,110.01,KP,14.917,3.17435,1328.039934,5.618692,-59.942551,10.826,12.283,1.03,1.16,5907,7.94,1
355703913,111.01,KP,13.087,2.106157,1326.105486,0.774485,-62.469342,12.139,13.857,0.95,0.94,5383,7.23,1
388104525,112.01,KP,13.852,2.4998,3069.773646,55.93344,-65.193856,10.612,12.314,1,1.14,5379,6.82,1
97409519,113.01,KP,14.757,3.372877,1327.053085,332.714323,-30.749674,11.419,12.724,1.17,1.06,6062,9.41,1
25155310,114.01,KP,10.514,3.28879,1327.519958,63.37389,-69.226789,9.659,10.994,1.01,1.24,5617,7.52,1
281541555,115.01,KP,10.551,4.742371,1329.903155,6.702439,-56.316124,11.993,13.783,0.96,0.88,5443,13.36,1
238176110,116.01,KP,11.951,2.79858,1326.688916,357.84526,-70.152863,9.838,11.98,0.81,0.91,4948,8.6,1
322307342,117.01,KP,16.475,3.586296,2063.655791,15.005889,-58.904757,10.985,12.312,1.02,2,6086,4.95,1
266980320,118.01,P,4.447,6.034467,3175.749118,349.556843,-56.903885,8.254,9.809,0.97,1.05,5527,13.13,1
278683844,119.01,CPC,2.044,5.541111,3189.428472,99.237983,-58.015237,8.125,10.07,0.86,0.82,5130,15.29,2
278683844,119.02,CPC,1.797,10.691727,3038.721177,99.237983,-58.015237,8.125,10.07,0.86,0.82,5130,23.7,2
394137592,120.01,P,11.471,11.535076,1332.082805,4.446408,-66.358985,6.09,7.79,0.96,2.34,5430,9.08,1
207081058,121.01,APC,15.36,14.774106,2074.32911,331.867232,-41.815456,9.137,10.385,1.14,1.23,6034,21.57,1
231702397,122.01,VP,2.635,5.078033,1329.118988,332.947,-58.9451,11.02,15.526,0.32,0.33,3421,25.35,1
