# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 21 10:45:31 2025
#
# User preference: *
#
# CONSTRAINT:  where (tran_flag = 1
# CONSTRAINT:  and pl_orbper not null
# CONSTRAINT:  and pl_orbpererr1 > 0
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_radeerr1 > 0
# CONSTRAINT:  and pl_tranmid not null
# CONSTRAINT:  and pl_tranmiderr1 > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_orblpererr1: Argument of Periastron Upper Unc. [deg]
# COLUMN pl_orblperlim:  Argument of Periastron Limit Flag
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_rvamperr1:   Radial Velocity Amplitude Upper Unc. [m/s]
# COLUMN pl_rvamplim:    Radial Velocity Amplitude Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_hmagerr1:    H (2MASS) Magnitude Upper Unc
# COLUMN sy_hmagerr2:    H (2MASS) Magnitude Lower Unc
#
pl_name,tran_flag,pl_orbper,pl_orbpererr1,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqtlim,pl_tranmid,pl_tranmiderr1,pl_tranmidlim,pl_trandur,pl_trandurerr1,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorlim,pl_orblper,pl_orblpererr1,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamplim,st_teff,st_tefferr1,st_tefflim,st_rad,st_raderr1,st_radlim,st_mass,st_masserr1,st_masslim,st_met,st_meterr1,st_metlim,rastr,ra,decstr,dec,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2
55 Cnc e,1,0.73654740000,0.00000130000,0,0.0154400000,0.0000500000,0,1.87500000,0.02900000,0,7.99000000,0.32000000,0,0.050000,0.030000,0,1958.00,15.00,0,2457063.20960000,0.00060000,0,1.5439000,0.0027000,0,3.520000,0.010000,0,86.0000,30.7000,0,6.02000,0.24000,0,5172.00,18.00,0,0.943000,0.010000,0,0.905000,0.015000,0,0.3500,0.1000,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.2650000,0.2340000,-0.2340000
AU Mic b,1,8.46308000000,0.00006000000,0,0.0649000000,0.0012000000,0,3.95677019,0.14571675,0,20.12000000,1.57000000,0,0.005770,0.001010,0,600.00,17.00,0,2458525.04109000,0.00052000,0,3.4927000,0.0074000,0,18.790000,0.500000,0,88.4304,0.0578,0,10.23000,0.88000,0,3678.00,90.00,0,0.744000,0.023000,0,0.510000,0.028000,0,0.2300,0.2400,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,8.8100000,0.1000000,-0.1000000,4.8310000,0.0160000,-0.0160000
AU Mic c,1,18.85969000000,0.00008000000,0,0.1108000000,0.0020000000,0,2.52202066,0.24659758,0,9.60000000,2.07000000,0,0.003380,0.001640,0,459.00,13.00,0,2458342.22400000,0.00190000,0,4.2360000,0.0290000,0,32.050000,0.860000,0,223.2844,1.6836,0,3.68000,0.87000,0,3678.00,90.00,0,0.744000,0.023000,0,0.510000,0.028000,0,0.2300,0.2400,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,8.8100000,0.1000000,-0.1000000,4.8310000,0.0160000,-0.0160000
BD+20 594 b,1,41.68550000000,0.00300000000,0,0.2410000000,0.0190000000,0,2.57807000,0.11209000,0,22.24810000,9.53490000,0,0.000000,,0,546.00,19.00,0,2457068.52877000,0.00280100,0,,,,55.800000,3.300000,0,,,,3.10000,1.10000,0,5766.00,99.00,0,1.080000,0.060000,0,1.670000,0.400000,0,-0.1500,,0,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,10.8490000,0.0120000,-0.0120000,9.4320000,0.0220000,-0.0220000
BD-14 3065 b,1,4.28897310000,0.00000520000,0,0.0656000000,0.0026000000,0,21.59000000,1.05000000,0,3932.00000000,290.00000000,0,0.066000,0.009800,0,2001.00,31.00,0,2459313.48578000,0.00076000,0,3.0860000,0.0410000,0,6.010000,0.120000,0,54.0000,6.0000,0,1210.00000,71.00000,0,6935.00,90.00,0,2.350000,0.080000,0,1.410000,0.050000,0,-0.3400,0.0500,0,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,11.1000000,0.0130000,-0.0130000,9.9750000,0.0260000,-0.0260000
CoRoT-1 b,1,1.50895570000,0.00000640000,0,0.0275200000,0.0002200000,0,16.70000000,0.90000000,0,327.35000000,38.14000000,0,0.000000,,0,1898.00,50.00,0,2454159.45320000,0.00010000,0,2.3730000,0.2450000,0,4.920000,0.080000,0,,,,188.00000,11.00000,0,5950.00,150.00,0,1.110000,0.050000,0,0.950000,0.150000,0,-0.3000,0.2500,0,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,13.6230000,0.1140000,-0.1140000,12.2180000,0.0260000,-0.0260000
CoRoT-10 b,1,13.24060000000,0.00020000000,0,0.1055000000,0.0021000000,0,10.87000000,0.78000000,0,874.00000000,50.85000000,0,0.530000,0.040000,0,600.00,23.00,0,2454273.34360000,0.00120000,0,2.9800000,0.0600000,0,31.330000,2.150000,0,218.9000,6.4000,0,301.00000,10.00000,0,4921.00,25.00,0,0.790000,0.050000,0,0.904000,0.035000,0,0.2600,0.0700,0,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,15.2930000,0.1370000,-0.1370000,11.9290000,0.0280000,-0.0280000
CoRoT-11 b,1,2.99433000000,0.00001100000,0,0.0436000000,0.0050000000,0,16.03000000,0.34000000,0,740.51000000,108.06000000,0,0.000000,,0,1657.00,55.00,0,2454597.67900000,0.00030000,0,2.5009000,0.0144000,0,6.890000,0.080000,0,,,,280.00000,40.00000,0,6440.00,120.00,0,1.370000,0.030000,0,1.270000,0.050000,0,-0.0300,0.0800,0,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,12.8970000,0.1140000,-0.1140000,11.4160000,0.0290000,-0.0290000
CoRoT-12 b,1,2.82804200000,0.00001300000,0,0.0401600000,0.0009300000,0,16.14000000,1.46000000,0,291.43800000,22.24700000,0,0.070000,0.063000,0,1442.00,58.00,0,2454398.62707000,0.00036000,0,2.5742400,0.0213600,0,8.097200,0.236200,0,105.0000,90.0000,0,125.50000,8.00000,0,5675.00,80.00,0,1.046000,0.043000,0,1.078000,0.077000,0,0.1600,0.1000,0,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,15.5880000,0.1830000,-0.1830000,13.6300000,0.0310000,-0.0310000
CoRoT-13 b,1,4.03519000000,0.00003000000,0,0.0510000000,0.0031000000,0,9.92000000,0.15700000,0,415.70400000,20.97600000,0,0.000000,,0,1700.00,,0,2454790.80910000,0.00060000,0,3.1400000,0.0100000,0,10.810000,0.320000,0,,,,157.80000,7.70000,0,5945.00,90.00,0,1.010000,0.030000,0,1.090000,0.020000,0,0.0100,0.0700,0,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,15.0050000,0.2970000,-0.2970000,13.4060000,0.0290000,-0.0290000
